"collectionCode","catalogNumber","verbatimWaterBody","Waterbody","verbatimContinent","Continent"
"Mammals","42254",,"Indian Ocean","Africa","Africa"
"Mammals","42253",,"Indian Ocean","Africa","Africa"
"Mammals","42252",,"Indian Ocean","Africa","Africa"
"Mammals","42251",,"Indian Ocean","Africa","Africa"
"Mammals","42250",,"Indian Ocean","Africa","Africa"
"Mammals","42440",,"Indian Ocean","Africa","Africa"
"Mammals","42383",,"Indian Ocean","Africa","Africa"
"Mammals","42399",,"Indian Ocean","Africa","Africa"
"Mammals","42166",,"Indian Ocean","Africa","Africa"
"Mammals","42381",,"Indian Ocean","Africa","Africa"
"Mammals","42435",,"Indian Ocean","Africa","Africa"
"Mammals","42434",,"Indian Ocean","Africa","Africa"
"Mammals","42433",,"Indian Ocean","Africa","Africa"
"Mammals","42432",,"Indian Ocean","Africa","Africa"
"Mammals","42377",,"Indian Ocean","Africa","Africa"
"Mammals","42413",,"Indian Ocean","Africa","Africa"
"Mammals","42378",,"Indian Ocean","Africa","Africa"
"Mammals","42398",,"Indian Ocean","Africa","Africa"
"Mammals","42397",,"Indian Ocean","Africa","Africa"
"Mammals","42386",,"Indian Ocean","Africa","Africa"
"Mammals","42385",,"Indian Ocean","Africa","Africa"
"Mammals","42384",,"Indian Ocean","Africa","Africa"
"Mammals","42233",,"Indian Ocean","Africa","Africa"
"Mammals","42431",,"Indian Ocean","Africa","Africa"
"Mammals","42478",,"Indian Ocean","Africa","Africa"
"Mammals","42471",,"Indian Ocean","Africa","Africa"
"Mammals","42472",,"Indian Ocean","Africa","Africa"
"Mammals","42473",,"Indian Ocean","Africa","Africa"
"Mammals","42474",,"Indian Ocean","Africa","Africa"
"Mammals","42475",,"Indian Ocean","Africa","Africa"
"Mammals","42477",,"Indian Ocean","Africa","Africa"
"Mammals","3405090032",,"Indian Ocean","Africa","Africa"
"Mammals","3405090030",,"Indian Ocean","Africa","Africa"
"Mammals","42476",,"Indian Ocean","Africa","Africa"
"Mammals","42725",,"Indian Ocean","Africa","Africa"
"Mammals","42600",,"Indian Ocean","Africa","Africa"
"Mammals","42626",,"Indian Ocean","Africa","Africa"
"Mammals","42712",,"Indian Ocean","Africa","Africa"
"Mammals","42582",,"Indian Ocean","Africa","Africa"
"Mammals","42581",,"Indian Ocean","Africa","Africa"
"Mammals","42580",,"Indian Ocean","Africa","Africa"
"Mammals","42711",,"Indian Ocean","Africa","Africa"
